REF_ID;PUB_TYPE;REFERENCE
REF083;Article;"Braz, A. G.; Rosa, D. T. C.; Vale, M. M.; and Costa, L. P. 2016. New southernmost records of Callithrix geoffroyi (Primates, Callitrichidae) expand the species known range, in southeastern Brazil. Oecologia Australis, 20 (1):128-133. "
REF084;Article;Bueno, C. 2013. Ocorrência de Myocastor coypus (Molina, 1782) no Estado do Rio de Janeiro. Boletim da sociedade brasileira de mastozoologia, 66:9-11. 
REF085;Article;"Bunlungsup, S.; Kanthaswamy, S.; Oldt, R. O.; Smith, D. V.; Houghton, P.; Hamada, Y.; and Malaivijitnond,S. 2017. Genetic analysis of samples from wild populations opens new perspectives on hybridization between long?tailed (Macaca fascicularis) and rhesus macaques (Macaca mulatta). American Journal of Primatology, 79:1-12.
"
REF086;Article;"Burity, C. H. F.; Cruz, L. D.; Rocha, V. L.; Conceição, N. B.; Luz, D. E.; Santos, D. S.; Campos, D. C.; and Pissinatti, A. 2007. Golden lion tamarins, Leontopithecus rosalia (Linnaeus, 1766) in the Taquara Municipal Natural Park (Duque de Caxias, RJ): a southern extension of the known range. Neotropical Primates, 1:30-31."
REF087;Article;"Cabello, J. L.; Valenzuela, A. E. J.; and Anderson, C. B. 2017. Advance in the biological invasion process of the large hairy armadillo Chaetophractus villosus (Dasypodidae) in Tierra del Fuego Island: a new binational challenge. Anales Instituto Patagonia (Chile), 45 (2):109-115."
REF088;Web site;California Academy of Sciences, CAS Mammalogy (MAM) . Accessed through GBIF data portal < http://data.gbif.org/datasets/resource/14132, 2012-12-04>
REF089;Congress abstract;"Camargo, M. B.; Orozco, G. D.; Freitas, R. A.; Huckembeck, S.; Wallwitz, G. M.; and Bonow, F. C. 2014. Registro da espécie exótica invasora Axis axis (Erxleben, 1777) Mammalia: Cervidae no sul do estado do Rio Grande do Sul. VII CBMz - Congresso Brazileiro de Mastozoologia, Gramado. "
REF090;Technical document;"Campos, BATP; Andrade, M. A. Canassa, N.; Feijo, A. Mamiferos do Parque Estadual Mata do Pau-Ferro. In: Plano de Manejo Mata do Pau Ferro. "
REF091;Thesis;Carrano, E. 2006. Composição e conservação da avifauna na Floresta Estadual do Palmito, município de Paranaguá, Paraná. Universidade Federal do Paraná.
REF092;Article;"Carvalho, W. D.; Godoy, M. S. M.; Adania, C. H.; and Esberard, C. E. L. 2013. Assembleia de mamíferos não voadores da Reserva Biológica Serra do Japi, Jundiaí, São Paulo, suldeste do Brazil.Bioscience Journal, 29 (5):1370-1387."
REF093;Article;"Cassano, C. R.; Barlow, J.; and Pardini, R. 2012. Large mammals in an agroforestry mosaic in the Brazilian Atlantic forest. Biotropica, 44:818-825. "
REF094;Article;"Cassano, C. R.; Barlow, J.; and Pardini, R. 2014. Forest loss or management intensification? Identifying causes of mammal decline in cacao agroforests. Biological Conservation, 169:1-22."
REF095;Article;"Castro, C.S.; and Araújo, A. 2007. Diet and feeding behaviour of marmoset, Callithrix jacchus. Revista Brazileira de Ecologia, 7:14-19."
REF096;Data base ;Ceballos, G. 2002. Actualizacion de la base de datos del Atlas Mastozoologico de Mexico. Universidad Nacional Autonoma de Mexico. Instituto de Ecologia. Bases de datos SNIB-CONABIO proyectos No. T009 y A003. Mexico, D.F.  Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/T009/metadatos/SNIB-T009-metadato.pdf>
REF097;Web site;Cervo encontrado em Porto Alegre é de espécie asiática com criação proibida no Rio Grande do Sul. 2017. Acesso em: <https://g1.globo.com/rs/rio-grande-do-sul/noticia/cervo-encontrado-em-porto-alegre-e-de-especie-asiatica-com-criacao-proibida-no-rio-grande-do-sul.ghtml>
REF098;Article;"Chacon J.; Gonzalez-Maya J. F.  2013. Noteworthy record of subsistence hunting and meat consumption of jaguarundi (Puma yagouaroundi) in Colombia. Revista Mexicana de Mastozoologia, 3(1):10-13."
REF099;Article;"Chagas, R. R. D.; and Ferrari, S. F. 2011. Population parameters of the endangered titi monkey, Callicebus coimbrai Kobayashi and Langguth, 1999, in the fragmented landscape of southern Sergipe, Brazil. Brazilian Journal of Biology,71 (3):569-575."
REF100;Article;"Chagas, R. R. D.;and Ferrari, S. F. 2010. Habitat use by Callicebus coimbrai (Primates: Pitheciidae) and sympatric species in the fragmented landscape of the Atlantic Forest of southern Sergipe, Brazil. Zoologia,  27 (6):853- 860."
REF101;Article;Cherem, J. J. 2005. Registros de mamíferos em estudos de avaliação ambiental no sul do Brazil. Biotemas, 18:169-202.
REF102;Article;"Cherem, J. J.; Althoff, S. L.; and Reinicke, R. C. 2008. Mamíferos. In: CHEREM, J. J.; KAMMERS, M. A fauna das areas de influência da Usina Hidrelétrica Quebra Queixo. Habilis editora, 1: 151-177."
REF103;Article;"Cherem, J. J.; and Althoff, S. L. 2015. Mamiferos de uma area de estepe ombrófila nos estados do Paraná e Santa Catarina, sul do Brazil. Boletim da Sociedade Brazileira de Mastozoologia, 73:42-50."
REF104;Article;"Cherem, J. J.; Kammers, M.; Ghizoni Junior, I. R.; and Martins, A. 2007. Mamiferos de médio e grande porte atropelados em rodovias do Estado de Santa Catarina, sul do Brazil. Biotemas, 20:81-96."
REF105;Article;"Chiarello, A. E.; and Melo, F. 2001. Primate Population Densities and Sizes in Atlantic Forest Remnants of Northern Espírito Santo, Brazil. International Journal of Primatology, 22 (3):379-396."
REF106;Article;"Contreras-Moreno, F. M.; Félix, H. K. C.; and Bello-Gutiérrez, J. 2012. Uso, Patrones de cacería y preferencia de presas en dos sitios del Parque Estatal La Sierra, Tabasco, México. Revista Etnobiologia, 10:1-10."
REF107;Article;"Cordeiro, J. L. P.; Hofmann, G. S.; Fonseca, C.; and Oliveira, L. F. B. 2018. Achilles heel of a powerful invader: restrictions on distribution and disappearance of feral pigs from a protected area in Northern Pantanal, Western Brazil. PeerJ, 6:e4200."
REF108;Article;Cossíos, D. 2004. La liebre europea, Lepus europaeus (Mammalia, Leporidae), especie invasora en el sur del Perú. Revista Peruana de Biología, 11(2):209-212.
REF109;Article;Cossíos, D. 2004. The european hare, Lepus europaeus (Mammalia, Leporidae), invasive species in south Peru. Peruvian journa of biology, 11 (2):209-212. 
REF110;Article;"Costa, M. D.; and Fernandes, F. A. B. 2010. Primeiro registro de Lepus europaeus Pallas, 1778 (Mammalia, Lagomorpha, Leporidae) no sul do Estado de Minas Gerais e uma síntese dos registros conhecidos para o sudeste do Brazil. Revista Brazileira de Zoociências, 12 (3):311-314."
REF111;Article;"Cuevas; M. F.; Ojeda, R. A.; and Jaksic, F. M. 2016. Ecological strategies and impact of wild boar in phytogeographic provinces of Argentina with emphasis on aridlands. Mastozoologia Neotropical, 23 (2):239-254."
REF112;Thesis;Cunha, A. A. 2005. Estratificação vertical, abundância e tamanho populacional do macaco-prego (Cebus sp.) e do mico-estrela (Callithrix jacchus) no Macico da Tijuca, Rio de Janeiro, RJ, Brazil. Universidade Federal do Rio de Janeiro.
REF113;Article;"Cunha, A. A.; Vieira, M. V.; and Grelle, C. E. V. 2006. Preliminary observations on habitat, support use and diet in two non-native primates in an urban Atlantic forest fragment: The capuchin monkey (Cebus sp.) and the common marmoset (Callithrix jacchus) in the Tijuca forest, Rio de Janeiro. Urban Ecosystems, 4:351-359."
REF114;Article;"Davis, E. F.; Anderson, C. B.; Valensuela, A. E. J.; Cabello, J. L.; and Soto, N. 2012. American mink (Neovison vison) trapping in the Cape Horn Biosphere Reserve: Enhancing current trap systems to control na invasive predator. Annale Zoologici Fennici, 49: 18 -22."
REF115;Article;"De la Fuente, M.F.C.; Souto, A.; Sampaio, M.B.; Schiel, N. 2014. Behavioral adjustments by a small Neotropical primate (Callithrix jacchus) in a semiarid caatinga environment. The Scientific World Journal, 2014:1-8."
REF116;Article;De la Sancha et al. 2009 b (o colaborador colocou somente isso, porém De La Sancha tem quatro artigos no mesmo ano com outros colaboradores)
REF117;Article;"De Melo Junior, T. A.; and Zara, F. J. 2007. Black-tufted-ear marmoset Callithrix penicillata (Primates: Callitrichidae) following the army ant Labidus praedator (Formicidae: Ecitoninae) in the Cerrado and the Atlantic Forest, Brazil. Neotropical Primates, 1: 32-33."
REF118;Article;"Deberdt, A. J.; and Scherer, S. B. 2007. O javali asselvajado: ocorrencia e manejo da especie no Brazil. Natureza & Conservação, 5 (2):31-44."
